# layer number, internal velocity Dix[/c], epsilon_r, error [%],         internal velocity non Dix [/c], epsilon_r non Dix, error non Dix [%]
1,0.639006011600326,2.449007483364915,-38.774812915877135,0.647814692179379,2.382859375347959,-40.428515616301027
2,nan,nan,nan,0.259250000000000,14.878613759556034,147.976895992600561
3,0.367118609742998,7.419714591346706,19.672815989462990,0.373680981595092,7.161401284265203,15.506472326858113
4,0.592420582772624,2.849310128895062,-55.479529236014656,0.612485875706215,2.665678958402857,-58.348766274955366
5,nan,nan,nan,0.197625899280575,25.604263127701074,540.106578192526854
6,0.430000000000000,5.408328826392649,-9.861186226789192,0.430000000000000,5.408328826392643,-9.861186226789281
7,1.048990602161173,0.908775908010495,-85.342324064346840,1.336417112299465,0.559907060519619,-90.969240959360974
