# layer number, internal velocity Dix[/c], epsilon_r, error [%],         internal velocity non Dix [/c], epsilon_r non Dix, error non Dix [%]
1,0.584834436381927,2.923708875290287,-26.907278117742827,0.596338231888446,2.811995966149921,-29.700100846251964
2,0.330375961386523,9.161848797902232,52.697479965037211,0.377586206896552,7.014032234523877,16.900537242064615
3,0.388034261677102,6.641403289447990,7.119407894322423,0.398235294117647,6.305514161224806,1.701841310077506
4,0.431522964586495,5.370221197559322,-16.090293788135604,0.432701149425288,5.341016286589091,-16.546620522045462
5,0.512654448272258,3.804963892478067,-4.875902688048317,0.515069444444444,3.769367018100402,-5.765824547489951
6,0.323376689360066,9.562745085454990,59.379084757583165,0.343557046979866,8.472318575664373,41.205309594406209
7,0.211950453296063,22.260314739423364,259.037334506828472,0.268877005347594,13.832245075943819,123.100727031351909
