# layer number, internal velocity Dix[/c], epsilon_r, error [%],         internal velocity non Dix [/c], epsilon_r non Dix, error non Dix [%]
1,0.492869948560588,4.116568267652922,2.914206691323051,0.498623037214647,4.022122749169447,0.553068729236172
2,0.420900602367317,5.644700521102234,-5.921657981629439,0.426219512195122,5.504696060793981,-8.255065653433658
3,0.326189036831847,9.398559155361397,4.428435059571080,0.334116809116809,8.957841003339121,-0.468433296231987
4,0.370000000000000,7.304601899196490,21.743364986608174,0.370000000000000,7.304601899196497,21.743364986608281
5,0.370000000000000,7.304601899196492,-18.837756675594530,0.370000000000000,7.304601899196492,-18.837756675594530
