8.921281903963040321e-09,8.647508845609452877e-01,1.000000000000000000e+00
4.894897332774127882e-08,5.837176926589214832e-01,4.000000000000000000e+00
3.267499954422737728e-07,4.390236646123446551e-01,6.000000000000000000e+00
3.667776868660520427e-07,4.460835816396248599e-01,4.000000000000000000e+00
6.445787089805845168e-07,4.301855238174893126e-01,6.000000000000000000e+00
6.846064004043627338e-07,4.345762682117804698e-01,4.000000000000000000e+00
9.624074225188952608e-07,4.271432770578958982e-01,6.000000000000000000e+00
1.002435113942673478e-06,4.302890033261765890e-01,4.000000000000000000e+00
1.280236136057205899e-06,4.256033231261892036e-01,6.000000000000000000e+00
1.320263827480984116e-06,4.280489896522230997e-01,4.000000000000000000e+00
1.598064849595516537e-06,4.246732178816937098e-01,6.000000000000000000e+00
1.638092541019294754e-06,4.266724070770414046e-01,4.000000000000000000e+00
1.915893563133827175e-06,4.240505669814623180e-01,6.000000000000000000e+00
1.955921254557605604e-06,4.257406856335076983e-01,4.000000000000000000e+00
2.233722276672138237e-06,4.236045442099175551e-01,6.000000000000000000e+00
2.273749968095916242e-06,4.250681738073863736e-01,4.000000000000000000e+00
2.551550990210448875e-06,4.232693283103681203e-01,6.000000000000000000e+00
2.591578681634227304e-06,4.245599090022779687e-01,4.000000000000000000e+00
2.869379703748759937e-06,4.230081893362857559e-01,6.000000000000000000e+00
2.909407395172538366e-06,4.241622676756486299e-01,4.000000000000000000e+00
3.187208417287070998e-06,4.227990157200234855e-01,6.000000000000000000e+00
