# layer number, internal velocity Dix[/c], epsilon_r, error [%],         internal velocity non Dix [/c], epsilon_r non Dix, error non Dix [%]
1,0.481620569012871,4.311118366792423,7.777959169810567,0.487972248330855,4.199617651721896,4.990441293047398
2,0.403513976724183,6.141618497109826,2.360308285163774,0.408235294117647,6.000382031243512,0.006367187391865
3,0.321390911860620,9.681280790526655,7.569786561407277,0.329014778325123,9.237813473730585,2.642371930339829
4,0.657843212557288,2.310761929308459,-61.487301178192354,0.754230769230770,1.757889243096056,-70.701845948399054
