# layer number, internal velocity Dix[/c], epsilon_r, error [%],         internal velocity non Dix [/c], epsilon_r non Dix, error non Dix [%]
1,0.734282641563749,1.854699166428465,-53.632520839288375,0.738165339603316,1.835239304440278,-54.119017388993051
2,nan,nan,nan,0.190000000000000,27.700831024930785,361.680517082179733
3,0.461124868748491,4.702869316894064,-24.147269082353816,0.461686746987952,4.691429387075539,-24.331784079426789
4,0.731971186715583,1.866431383195329,-70.837009637572976,0.773636363636364,1.670806861630956,-73.893642787016319
5,0.357527742918674,7.823129251700690,95.578231292517259,0.389565217391304,6.589305644132658,64.732641103316439
