t0 [%], Vrms [%], depth [%], thickness [%], epsilon [%], Vn [%]
-6.048906048906059318e+00,2.056737588652485371e+01,2.881697615120003420e+01,2.881697615120003420e+01,-3.877481291587712064e+01,2.780120232006519387e+01
-3.773584905660377853e+00,-5.737704918032786594e+00,-4.503034029799994897e+00,-3.782304421080002754e+01,-1.000000000000000000e+02,-1.000000000000000000e+02
-3.099173553719011043e+00,-6.521739130434789367e+00,-5.901424991899991923e+00,-8.698206916099984198e+00,1.967281598946298971e+01,-8.588203362929352380e+00
-1.223241590214062091e+00,8.108108108108112333e+00,1.119955672080001463e+01,6.250250185890002541e+01,-5.547952923601465614e+01,4.987186994606408064e+01
-3.807106598984788537e-01,-5.286343612334811759e+00,-2.805055802100000051e+00,-5.882350589370005878e+01,-1.000000000000000000e+02,-1.000000000000000000e+02
-7.368421052631575208e-01,-3.587443946188347610e+00,-2.030963504649996310e+00,1.839497982600022619e+00,-9.861186226789191878e+00,5.328058939676646233e+00
1.254480286738350658e+00,3.181818181818181301e+01,3.748855498085713123e+01,2.746056658938999249e+02,-8.534232406434686879e+01,1.611965535228069086e+02
