t0 [s], Vrms [m/s], depth [m], thickness [m], epsilon_r, Vn [m/s]
7.300000000000000517e-08,2.038588714400000274e+08,6.440848807560001887e+00,6.440848807560001887e+00,2.449007483364915139e+00,1.915691828944382370e+08
1.530000000000000068e-07,1.379045306800000072e+08,9.549696597020000510e+00,3.108847789459998623e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.345000000000000153e-07,1.289107569399999976e+08,1.411478625121500130e+01,4.565089654195000790e+00,7.419714591346705745e+00,1.100593903923961073e+08
3.230000000000000203e-07,1.439003798400000036e+08,2.223991134416000293e+01,8.125125092945001626e+00,2.849310128895062189e+00,1.776032226791974008e+08
3.925000000000000008e-07,1.289107569399999976e+08,2.429873604947499999e+01,2.058824705314997061e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.715000000000000067e-07,1.289107569399999976e+08,2.939071094860500111e+01,5.091974899130001120e+00,5.408328826392648558e+00,1.289107569399999976e+08
5.649999999999999903e-07,1.738796256399999857e+08,4.812099424329999664e+01,1.873028329469499553e+01,9.087759080104950149e-01,3.144794710407981873e+08
