t0 [s], Vrms [m/s], depth [m], thickness [m], epsilon_r, Vn [m/s]
7.900000000000000595e-08,2.038588714400000274e+08,7.052425421880002432e+00,7.052425421880002432e+00,2.422397600005373963e+00,1.926184967403070033e+08
1.530000000000000068e-07,1.409024552599999905e+08,9.779037827389998938e+00,2.726612405509996506e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.380000000000000136e-07,1.409024552599999905e+08,1.576739217593999953e+01,5.988354348550000594e+00,4.526935264825713290e+00,1.409024552599999905e+08
3.260000000000000340e-07,1.468983044199999869e+08,2.294442362046000028e+01,7.177031444520000747e+00,3.424337701958099167e+00,1.620064886651225984e+08
3.959999999999999990e-07,1.439003798400000036e+08,2.749227520832000238e+01,4.547851587860002098e+00,5.398818430023594850e+00,1.290242496391713917e+08
4.700000000000000528e-07,1.409024552599999905e+08,3.211207698609999994e+01,4.619801777779997565e+00,5.880202787533970188e+00,1.236301941074362993e+08
5.660000000000000654e-07,1.349066060999999940e+08,3.717856952630000222e+01,5.066492540200002281e+00,8.895478131949602130e+00,1.005161983677242249e+08
