t0 [%], Vrms [%], depth [%], epsilon [%], Vn [%]
1.673101673101662357e+00,2.056737588652485371e+01,4.104850843760004864e+01,3.944005999986565314e+01,2.850122916721741362e+01
3.773584905660377853e+00,3.688524590163946293e+00,2.209621726100010619e+00,1.000000000000000000e+02,1.000000000000000000e+02
1.652892561983474895e+00,2.173913043478248763e+00,5.115947839599996882e+00,2.698491508345624013e+01,1.702905622109406991e+01
3.058103975535074182e-01,1.036036036036035135e+01,1.472211810230000317e+01,4.649472340690470418e+01,3.671044383859421600e+01
5.076142131979672900e-01,5.726872246696029123e+00,9.969100833280009510e+00,3.497046075058987213e+01,1.392428582097859646e+01
1.052631578947358371e+00,5.381165919282499210e+00,7.040256620333333437e+00,1.996620207767163535e+00,1.013512609599569458e+00
1.433691756272414297e+00,2.272727272727271597e+00,6.224484360857148957e+00,4.347545374112261385e+01,1.651447231206293864e+01
