t0 [s], Vrms [m/s], depth [m], thickness [m], epsilon_r, Vn [m/s]
7.800000000000001023e-08,1.948650977000000179e+08,6.599738810300001646e+00,6.599738810300001646e+00,2.713798627553832166e+00,1.819834498551881015e+08
1.535000000000000179e-07,1.468983044199999869e+08,1.027444486423500081e+01,3.674706053934999161e+00,1.935723717102316499e+01,6.813951174934105575e+07
2.345000000000000153e-07,1.349066060999999940e+08,1.481779956522500008e+01,4.543354700989999273e+00,7.619298460149185992e+00,1.086083485277146846e+08
3.240000000000000425e-07,1.409024552599999905e+08,2.182619775212000235e+01,7.008398186895002269e+00,3.715951813031574069e+00,1.555197917821561098e+08
3.940000000000000076e-07,1.319086815199999958e+08,2.498601025944000043e+01,3.159812507319998076e+00,1.487209994051162454e+01,7.773821339487007260e+07
4.720000000000000443e-07,1.379045306800000072e+08,3.154546924048000278e+01,6.559458981040002357e+00,3.305532953620827108e+00,1.648921411323208511e+08
5.649999999999999903e-07,1.349066060999999940e+08,3.711111622325000070e+01,5.565646982769997919e+00,6.397336506779122800e+00,1.185280405998581052e+08
