t0 [%], Vrms [%], depth [%], epsilon [%], Vn [%]
3.861003861003809989e-01,1.524822695035463838e+01,3.199477620600002936e+01,3.215503431115419630e+01,2.140628958396818859e+01
3.459119496855339371e+00,4.098360655737559588e-01,2.744448642350008072e+00,2.226206195170527735e+02,4.432580585190547140e+01
3.099173553719011043e+00,2.173913043478270080e+00,1.214669565166666132e+00,2.289191064756751359e+01,9.793392155754958139e+00
9.174311926605384082e-01,5.855855855855850223e+00,9.130988760600011744e+00,4.193825292138166105e+01,3.123659388836263417e+01
0.000000000000000000e+00,3.083700440528645448e+00,5.595896223999829999e-02,2.718024985127906348e+02,4.813864637323860052e+01
6.315789473684128019e-01,3.139013452914798386e+00,5.151564134933342309e+00,4.490778410631954642e+01,3.472707454474257105e+01
1.254480286738350658e+00,2.272727272727271597e+00,6.031760637857145113e+00,3.182846883534235616e+00,1.554414353241302393e+00
